provinsi,tahun,pulau,rpp,pl,ik,ia,rpp_norm,pl_norm,ik_norm,ia_norm,ikp,status,has_complete_data
SULAWESI UTARA,2019,Sulawesi,0.11080028320702034,4.478790120474895,1.1419298245614036,0.9234,0.193592,0.503683,0.739895,0.825852,0.609179,SEDANG,True
SULAWESI TENGAH,2019,Sulawesi,0.27665497707924036,4.540044612468407,1.0157894736842106,0.8652,0.48421,0.522697,0.48717,0.583957,0.52272,SEDANG,True
SULAWESI SELATAN,2019,Sulawesi,0.5710148861171367,5.003190700747756,1.1057894736842107,0.9131,1.0,0.666464,0.667487,0.783042,0.768452,TINGGI,True
SULAWESI TENGGARA,2019,Sulawesi,0.19214956557104299,3.92694402294145,1.087719298245614,0.8876,0.336135,0.332383,0.631283,0.677057,0.526206,SEDANG,True
GORONTALO,2019,Sulawesi,0.19225936304673208,4.717636112666917,1.0347368421052632,0.8448,0.336328,0.577824,0.525132,0.499169,0.490121,RENDAH,True
SULAWESI BARAT,2019,Sulawesi,0.21744709121205533,4.796023807047037,0.9663157894736841,0.8898,0.380463,0.602157,0.388049,0.686201,0.518799,SEDANG,True
MALUKU,2019,Maluku-Papua,0.05449816961561928,3.7823966339259765,0.8808771929824561,0.8230999999999999,0.094937,0.287513,0.216872,0.408978,0.264245,RENDAH,True
MALUKU UTARA,2019,Maluku-Papua,0.030216308329351807,3.243078500918764,0.8626315789473684,0.9323,0.052389,0.120102,0.180316,0.862843,0.347446,RENDAH,True
PAPUA BARAT,2019,Maluku-Papua,0.031204210087536474,4.1633670043033035,0.9908771929824561,0.7783,0.05412,0.405772,0.437258,0.222776,0.289989,RENDAH,True
PAPUA,2019,Maluku-Papua,0.06964149675968397,4.347534310751626,0.7726315789473684,0.7247,0.121471,0.462939,0.0,0.0,0.116882,RENDAH,True
ACEH,2020,Sumatera,0.33314623405183036,5.528412029329907,1.032982456140351,0.8501,0.641708,0.892818,0.479919,0.509624,0.603768,SEDANG,True
SUMATERA UTARA,2020,Sumatera,0.13787722407665176,5.251019799160671,1.113859649122807,0.9125,0.265113,0.800149,0.635505,0.78259,0.638481,SEDANG,True
SUMATERA BARAT,2020,Sumatera,0.2506584677929352,4.692039222704034,1.0291228070175438,0.9372,0.482622,0.613408,0.472494,0.890639,0.628146,SEDANG,True
