provinsi,tahun,pulau,rpp,pl,ik,ia,ikp,status,pct_miskin_est,is_prediction,model_version
KALIMANTAN UTARA,2030,Kalimantan,0.044174,3.793022,1.112867,0.935893,0.51737,SEDANG,6.41,True,rf_v1.0
KEPULAUAN BANGKA BELITUNG,2025,Sumatera,0.052516,4.237311,1.159255,0.949653,0.609622,SEDANG,5.03,True,rf_v1.0
KEPULAUAN BANGKA BELITUNG,2026,Sumatera,0.05536,4.201006,1.155852,0.948041,0.606505,SEDANG,5.2,True,rf_v1.0
KEPULAUAN BANGKA BELITUNG,2027,Sumatera,0.056669,4.199458,1.155263,0.946064,0.601451,SEDANG,5.39,True,rf_v1.0
KEPULAUAN BANGKA BELITUNG,2028,Sumatera,0.056945,4.190551,1.154241,0.945282,0.600513,SEDANG,5.47,True,rf_v1.0
KEPULAUAN BANGKA BELITUNG,2029,Sumatera,0.054771,4.182835,1.154948,0.943987,0.597339,SEDANG,5.6,True,rf_v1.0
KEPULAUAN BANGKA BELITUNG,2030,Sumatera,0.057552,4.194645,1.153213,0.943117,0.593238,SEDANG,5.69,True,rf_v1.0
KEPULAUAN RIAU,2025,Sumatera,0.011283,2.981158,1.160859,0.944247,0.504548,SEDANG,5.58,True,rf_v1.0
KEPULAUAN RIAU,2026,Sumatera,0.022098,3.143294,1.164804,0.944836,0.516397,SEDANG,5.52,True,rf_v1.0
KEPULAUAN RIAU,2027,Sumatera,0.026835,3.218471,1.159682,0.944511,0.52588,SEDANG,5.55,True,rf_v1.0
KEPULAUAN RIAU,2028,Sumatera,0.029799,3.302471,1.156745,0.944668,0.528723,SEDANG,5.53,True,rf_v1.0
KEPULAUAN RIAU,2029,Sumatera,0.031892,3.397371,1.155678,0.944204,0.530525,SEDANG,5.58,True,rf_v1.0
KEPULAUAN RIAU,2030,Sumatera,0.034548,3.44165,1.156778,0.944189,0.532151,SEDANG,5.58,True,rf_v1.0
LAMPUNG,2025,Sumatera,0.277952,5.217913,1.059814,0.889191,0.620814,SEDANG,11.08,True,rf_v1.0
LAMPUNG,2026,Sumatera,0.270117,5.162279,1.057825,0.888276,0.621218,SEDANG,11.17,True,rf_v1.0
LAMPUNG,2027,Sumatera,0.270538,5.155337,1.056985,0.888788,0.624302,SEDANG,11.12,True,rf_v1.0
LAMPUNG,2028,Sumatera,0.271708,5.162245,1.056785,0.889041,0.623749,SEDANG,11.1,True,rf_v1.0
LAMPUNG,2029,Sumatera,0.272122,5.16312,1.056832,0.888942,0.623575,SEDANG,11.11,True,rf_v1.0
LAMPUNG,2030,Sumatera,0.272535,5.164109,1.05687,0.889016,0.624195,SEDANG,11.1,True,rf_v1.0
MALUKU,2025,Maluku-Papua,0.044059,3.835921,0.927813,0.83371,0.315654,RENDAH,16.63,True,rf_v1.0
MALUKU,2026,Maluku-Papua,0.047711,3.947892,0.934846,0.832215,0.313225,RENDAH,16.78,True,rf_v1.0
MALUKU,2027,Maluku-Papua,0.047705,3.971576,0.931138,0.83244,0.309148,RENDAH,16.76,True,rf_v1.0
MALUKU,2028,Maluku-Papua,0.046319,3.959231,0.937441,0.829486,0.310493,RENDAH,17.05,True,rf_v1.0
MALUKU,2029,Maluku-Papua,0.048749,3.983785,0.935214,0.827634,0.30561,RENDAH,17.24,True,rf_v1.0
MALUKU,2030,Maluku-Papua,0.047293,3.985411,0.934215,0.827873,0.307484,RENDAH,17.21,True,rf_v1.0
MALUKU UTARA,2025,Maluku-Papua,0.028007,3.493555,0.941893,0.932822,0.398652,RENDAH,6.72,True,rf_v1.0
MALUKU UTARA,2026,Maluku-Papua,0.03098,3.5752,0.927938,0.932107,0.388333,RENDAH,6.79,True,rf_v1.0
MALUKU UTARA,2027,Maluku-Papua,0.032567,3.673939,0.934072,0.93078,0.391826,RENDAH,6.92,True,rf_v1.0
MALUKU UTARA,2028,Maluku-Papua,0.034228,3.691542,0.933198,0.930218,0.390386,RENDAH,6.98,True,rf_v1.0
MALUKU UTARA,2029,Maluku-Papua,0.034994,3.765089,0.93522,0.929973,0.393261,RENDAH,7.0,True,rf_v1.0
MALUKU UTARA,2030,Maluku-Papua,0.034436,3.869485,0.933817,0.929612,0.394025,RENDAH,7.04,True,rf_v1.0
NUSA TENGGARA BARAT,2025,Bali-Nusa,0.295778,5.184782,1.286225,0.871853,0.730462,TINGGI,12.81,True,rf_v1.0
NUSA TENGGARA BARAT,2026,Bali-Nusa,0.324417,5.189606,1.259656,0.878345,0.723163,TINGGI,12.17,True,rf_v1.0
NUSA TENGGARA BARAT,2027,Bali-Nusa,0.286514,5.211056,1.252865,0.881022,0.721762,TINGGI,11.9,True,rf_v1.0
NUSA TENGGARA BARAT,2028,Bali-Nusa,0.281597,5.165449,1.24358,0.885203,0.720732,TINGGI,11.48,True,rf_v1.0
NUSA TENGGARA BARAT,2029,Bali-Nusa,0.266253,5.19612,1.243675,0.886889,0.716282,TINGGI,11.31,True,rf_v1.0
NUSA TENGGARA BARAT,2030,Bali-Nusa,0.272222,5.202724,1.237157,0.888064,0.717551,TINGGI,11.19,True,rf_v1.0
NUSA TENGGARA TIMUR,2025,Bali-Nusa,0.130283,4.156931,0.967562,0.813445,0.338233,RENDAH,18.66,True,rf_v1.0
NUSA TENGGARA TIMUR,2026,Bali-Nusa,0.128632,4.130673,0.968997,0.825672,0.334556,RENDAH,17.43,True,rf_v1.0
NUSA TENGGARA TIMUR,2027,Bali-Nusa,0.130089,4.100657,0.970269,0.826116,0.332528,RENDAH,17.39,True,rf_v1.0
NUSA TENGGARA TIMUR,2028,Bali-Nusa,0.131723,4.113735,0.968705,0.822235,0.334467,RENDAH,17.78,True,rf_v1.0
NUSA TENGGARA TIMUR,2029,Bali-Nusa,0.133046,4.108657,0.967801,0.822693,0.331917,RENDAH,17.73,True,rf_v1.0
NUSA TENGGARA TIMUR,2030,Bali-Nusa,0.131324,4.11116,0.9682,0.820573,0.333222,RENDAH,17.94,True,rf_v1.0
