provinsi,tahun,pulau,rpp_ikan,rpp_kebun,npi,kps,rpp_ikan_norm,rpp_kebun_norm,npi_norm,kps_norm,ipsda,status,n_komponen,has_complete_data
JAWA BARAT,2019,Jawa,0.004697245385858124,0.0008141553386967803,117739.56190130387,0.092268,0.01273,0.0,0.011318,0.213415,0.059366,RENDAH,4,True
JAWA TENGAH,2019,Jawa,0.007538094204471457,0.0017303378916142102,145564.01930395776,0.142966,0.023026,0.002484,0.015644,0.331716,0.093218,RENDAH,4,True
DAERAH ISTIMEWA YOGYAKARTA,2019,Jawa,0.0011846662875458823,0.001961303830843199,44926.908700822,0.101773,0.0,0.003111,0.0,0.235594,0.059676,RENDAH,4,True
JAWA TIMUR,2019,Jawa,0.012114414967492602,0.004785217185644412,228449.35561381615,0.118813,0.039611,0.010769,0.028528,0.275356,0.088566,RENDAH,4,True
BANTEN,2019,Jawa,0.014161534649961068,0.0009369371495088208,471424.862399031,0.062308,0.04703,0.000333,0.066297,0.143505,0.064291,RENDAH,4,True
BALI,2019,Bali-Nusa,0.02178060522696011,0.0025332416322787713,501300.7276478679,0.150884,0.074643,0.004662,0.070942,0.350193,0.12511,RENDAH,4,True
NUSA TENGGARA BARAT,2019,Bali-Nusa,0.042842558807546,0.0029185428149988354,534465.4050539554,0.231839,0.150974,0.005707,0.076097,0.539097,0.192969,RENDAH,4,True
NUSA TENGGARA TIMUR,2019,Bali-Nusa,0.02274295593320091,0.002643824027072758,519570.924372839,0.285076,0.07813,0.004962,0.073782,0.663323,0.205049,RENDAH,4,True
KALIMANTAN BARAT,2019,Kalimantan,0.019322987890679193,0.1384049784965416,851142.4819152942,0.209091,0.065736,0.373112,0.125323,0.486016,0.262547,RENDAH,4,True
KALIMANTAN TENGAH,2019,Kalimantan,0.0405309834704506,0.369579779606008,1453979.5078873876,0.217192,0.142597,1.0,0.219032,0.504919,0.466637,KURANG,4,True
KALIMANTAN SELATAN,2019,Kalimantan,0.03330503047695847,0.05532991011076062,1891360.5213101534,0.143999,0.116409,0.147833,0.287021,0.334127,0.221348,RENDAH,4,True
KALIMANTAN TIMUR,2019,Kalimantan,0.03712047959775672,0.14082658783877117,1549772.0952012597,0.087957,0.130236,0.379679,0.233922,0.203356,0.236798,RENDAH,4,True
KALIMANTAN UTARA,2019,Kalimantan,0.05010063254744106,0.05101710753306498,1963529.3530764808,0.16466,0.177278,0.136138,0.298239,0.382338,0.248498,RENDAH,4,True
SULAWESI UTARA,2019,Sulawesi,0.1038354516659316,0.014098271921735295,2547658.6075137323,0.215146,0.372021,0.036023,0.38904,0.500145,0.324307,KURANG,4,True
SULAWESI TENGAH,2019,Sulawesi,0.04404753295420926,0.02925610597942211,1052542.4893987705,0.217593,0.155341,0.077127,0.15663,0.505855,0.223738,RENDAH,4,True
SULAWESI SELATAN,2019,Sulawesi,0.04183604512727479,0.005157605306423267,1035073.3645898293,0.21716,0.147326,0.011778,0.153914,0.504844,0.204465,RENDAH,4,True
SULAWESI TENGGARA,2019,Sulawesi,0.09482824642414686,0.010248901903367497,2206847.0165559184,0.241304,0.339377,0.025585,0.336062,0.561183,0.315552,KURANG,4,True
GORONTALO,2019,Sulawesi,0.12252720163209793,0.014418990139408365,3023311.7604556275,0.387928,0.439762,0.036893,0.462978,0.903323,0.460739,KURANG,4,True
SULAWESI BARAT,2019,Sulawesi,0.049403325485579755,0.042414655679811654,1357006.3184226016,0.429359,0.174751,0.11281,0.203958,1.0,0.37288,KURANG,4,True
MALUKU,2019,Maluku-Papua,0.2771122420130054,0.009266327396098388,6478026.655357648,0.239996,1.0,0.02292,1.0,0.558131,0.645263,CUKUP,4,True
MALUKU UTARA,2019,Maluku-Papua,0.2332176094521324,0.022274823986404468,5173401.742332282,0.210317,0.84092,0.058196,0.797201,0.488876,0.546298,CUKUP,4,True
PAPUA BARAT,2019,Maluku-Papua,0.14947903694479037,0.015877957658779578,5753504.199875467,0.108478,0.537439,0.040849,0.887376,0.25124,0.429226,KURANG,4,True
PAPUA,2019,Maluku-Papua,0.06600609482835888,0.017559977293776702,2250768.9378865287,0.122782,0.234922,0.04541,0.342889,0.284618,0.22696,RENDAH,4,True
ACEH,2020,Sumatera,0.055332145171743355,0.03127700367249946,1504670.0311442355,0.300634,0.228725,0.087707,0.214311,0.685355,0.304025,KURANG,4,True
SUMATERA UTARA,2020,Sumatera,0.03080918625910126,0.05084357058087693,940773.3280944286,0.220356,0.124038,0.144011,0.131274,0.501847,0.225293,RENDAH,4,True
SUMATERA BARAT,2020,Sumatera,0.037037627223193176,0.03393261026010075,1028286.1416675234,0.216856,0.150627,0.095349,0.144161,0.493846,0.220996,RENDAH,4,True
RIAU,2020,Sumatera,0.020061087082534446,0.19841411394004252,417351.8672433525,0.268759,0.078155,0.568652,0.054197,0.612492,0.328374,KURANG,4,True
JAMBI,2020,Sumatera,0.01500738393792122,0.11471618827699165,414268.6797518997,0.315257,0.056581,0.327807,0.053743,0.718781,0.289228,RENDAH,4,True
