provinsi,tahun,pulau,rpp_ikan,rpp_kebun,npi,kps,ipsda,status,is_prediction,model_version
MALUKU UTARA,2028,Maluku-Papua,0.140627,0.019124,2317472.704874,0.125542,0.302864,KURANG,True,sda_rf_v2.0
MALUKU UTARA,2029,Maluku-Papua,0.14244,0.018836,2035342.718651,0.123368,0.291529,RENDAH,True,sda_rf_v2.0
MALUKU UTARA,2030,Maluku-Papua,0.129492,0.017907,2015488.052955,0.122055,0.283679,RENDAH,True,sda_rf_v2.0
NUSA TENGGARA BARAT,2025,Bali-Nusa,0.027851,0.004967,362738.407814,0.216701,0.155062,RENDAH,True,sda_rf_v2.0
NUSA TENGGARA BARAT,2026,Bali-Nusa,0.029534,0.009125,628839.726167,0.212232,0.169587,RENDAH,True,sda_rf_v2.0
NUSA TENGGARA BARAT,2027,Bali-Nusa,0.031921,0.011844,547025.08973,0.213648,0.175604,RENDAH,True,sda_rf_v2.0
NUSA TENGGARA BARAT,2028,Bali-Nusa,0.032444,0.010001,429402.0974,0.215346,0.188102,RENDAH,True,sda_rf_v2.0
NUSA TENGGARA BARAT,2029,Bali-Nusa,0.032377,0.009997,436113.277334,0.216858,0.190666,RENDAH,True,sda_rf_v2.0
NUSA TENGGARA BARAT,2030,Bali-Nusa,0.032172,0.007102,429183.054599,0.223413,0.191997,RENDAH,True,sda_rf_v2.0
NUSA TENGGARA TIMUR,2025,Bali-Nusa,0.017508,0.004936,294761.020379,0.266473,0.164851,RENDAH,True,sda_rf_v2.0
NUSA TENGGARA TIMUR,2026,Bali-Nusa,0.023524,0.008972,563833.073524,0.251196,0.174079,RENDAH,True,sda_rf_v2.0
NUSA TENGGARA TIMUR,2027,Bali-Nusa,0.02672,0.011124,555982.078621,0.253611,0.186822,RENDAH,True,sda_rf_v2.0
NUSA TENGGARA TIMUR,2028,Bali-Nusa,0.028233,0.010416,405170.937096,0.250417,0.19627,RENDAH,True,sda_rf_v2.0
NUSA TENGGARA TIMUR,2029,Bali-Nusa,0.029603,0.007678,388728.169903,0.255972,0.199211,RENDAH,True,sda_rf_v2.0
NUSA TENGGARA TIMUR,2030,Bali-Nusa,0.030124,0.009111,397763.835683,0.257674,0.201826,RENDAH,True,sda_rf_v2.0
PAPUA,2025,Maluku-Papua,0.043052,0.020992,478631.37053,0.137417,0.147554,RENDAH,True,sda_rf_v2.0
PAPUA,2026,Maluku-Papua,0.047777,0.035808,856960.511258,0.132526,0.173465,RENDAH,True,sda_rf_v2.0
PAPUA,2027,Maluku-Papua,0.049001,0.046273,893597.399107,0.132925,0.176842,RENDAH,True,sda_rf_v2.0
PAPUA,2028,Maluku-Papua,0.048749,0.049561,728953.710853,0.135626,0.183065,RENDAH,True,sda_rf_v2.0
PAPUA,2029,Maluku-Papua,0.046883,0.038562,721143.803362,0.138202,0.181595,RENDAH,True,sda_rf_v2.0
PAPUA,2030,Maluku-Papua,0.047462,0.041468,684616.795649,0.138273,0.178613,RENDAH,True,sda_rf_v2.0
PAPUA BARAT,2025,Maluku-Papua,0.049242,0.010133,597969.859641,0.088491,0.135229,RENDAH,True,sda_rf_v2.0
PAPUA BARAT,2026,Maluku-Papua,0.052275,0.023547,1037272.111627,0.102463,0.168059,RENDAH,True,sda_rf_v2.0
PAPUA BARAT,2027,Maluku-Papua,0.050172,0.04479,1008730.321888,0.112757,0.179083,RENDAH,True,sda_rf_v2.0
PAPUA BARAT,2028,Maluku-Papua,0.049887,0.057747,913262.087853,0.120436,0.18295,RENDAH,True,sda_rf_v2.0
PAPUA BARAT,2029,Maluku-Papua,0.046109,0.057179,762658.242116,0.126261,0.182279,RENDAH,True,sda_rf_v2.0
PAPUA BARAT,2030,Maluku-Papua,0.045179,0.044655,733016.663268,0.132381,0.182139,RENDAH,True,sda_rf_v2.0
RIAU,2025,Sumatera,0.01705,0.187639,311899.013105,0.283231,0.289482,RENDAH,True,sda_rf_v2.0
