kode_wilayah,wilayah,provinsi,level,tahun,hls,rls,ahh,pengeluaran
1105,Aceh Timur,ACEH,kab_kota,2034,13.1817,9.7197,70.08,12485.9959
1105,Aceh Timur,ACEH,kab_kota,2035,13.1918,9.8358,70.17,12730.6621
1105,Aceh Timur,ACEH,kab_kota,2036,13.202,9.9519,70.26,12975.3283
1105,Aceh Timur,ACEH,kab_kota,2037,13.2122,10.068,70.35,13219.9945
1105,Aceh Timur,ACEH,kab_kota,2038,13.2224,10.1842,70.44,13464.6607
1105,Aceh Timur,ACEH,kab_kota,2039,13.2326,10.3003,70.53,13709.3269
1105,Aceh Timur,ACEH,kab_kota,2040,13.2428,10.4164,70.62,13953.9931
1105,Aceh Timur,ACEH,kab_kota,2041,13.2529,10.5325,70.71,14198.6593
1105,Aceh Timur,ACEH,kab_kota,2042,13.2631,10.6486,70.8,14443.3255
1105,Aceh Timur,ACEH,kab_kota,2043,13.2733,10.7647,70.89,14687.9917
1105,Aceh Timur,ACEH,kab_kota,2044,13.2835,10.8809,70.98,14932.6579
1105,Aceh Timur,ACEH,kab_kota,2045,13.2937,10.997,71.07,15177.3241
1106,Aceh Tengah,ACEH,kab_kota,2025,,,69.397,
1106,Aceh Tengah,ACEH,kab_kota,2026,15.192,10.4353,69.4941,12367
1106,Aceh Tengah,ACEH,kab_kota,2027,15.344,10.5207,69.5911,12559
1106,Aceh Tengah,ACEH,kab_kota,2028,15.496,10.606,69.6882,12751
1106,Aceh Tengah,ACEH,kab_kota,2029,15.648,10.6913,69.7852,12943
1106,Aceh Tengah,ACEH,kab_kota,2030,15.8,10.7767,69.8822,13135
1106,Aceh Tengah,ACEH,kab_kota,2031,15.952,10.862,69.9793,13327
1106,Aceh Tengah,ACEH,kab_kota,2032,16.104,10.9473,70.0763,13519
1106,Aceh Tengah,ACEH,kab_kota,2033,16.256,11.0326,70.1734,13711
1106,Aceh Tengah,ACEH,kab_kota,2034,16.408,11.118,70.2704,13903
1106,Aceh Tengah,ACEH,kab_kota,2035,16.56,11.2033,70.3674,14095
1106,Aceh Tengah,ACEH,kab_kota,2036,16.712,11.2886,70.4645,14287
1106,Aceh Tengah,ACEH,kab_kota,2037,16.864,11.374,70.5615,14479
1106,Aceh Tengah,ACEH,kab_kota,2038,17.016,11.4593,70.6586,14670.9999
1106,Aceh Tengah,ACEH,kab_kota,2039,17.168,11.5446,70.7556,14862.9999
1106,Aceh Tengah,ACEH,kab_kota,2040,17.32,11.63,70.8527,15054.9999
1106,Aceh Tengah,ACEH,kab_kota,2041,17.472,11.7153,70.9497,15246.9999
1106,Aceh Tengah,ACEH,kab_kota,2042,17.624,11.8006,71.0467,15438.9999
1106,Aceh Tengah,ACEH,kab_kota,2043,17.776,11.8859,71.1438,15630.9999
1106,Aceh Tengah,ACEH,kab_kota,2044,17.928,11.9713,71.2408,15822.9999
1106,Aceh Tengah,ACEH,kab_kota,2045,18.08,12.0566,71.3379,16014.9999
1107,Aceh Barat,ACEH,kab_kota,2025,,,68.5743,
1107,Aceh Barat,ACEH,kab_kota,2026,14.9915,10.4972,68.6686,11161.0666
1107,Aceh Barat,ACEH,kab_kota,2027,15.0487,10.6842,68.7629,11385.1333
1107,Aceh Barat,ACEH,kab_kota,2028,15.106,10.8712,68.8571,11609.1999
1107,Aceh Barat,ACEH,kab_kota,2029,15.1632,11.0581,68.9514,11833.2666
1107,Aceh Barat,ACEH,kab_kota,2030,15.2205,11.2451,69.0457,12057.3332
1107,Aceh Barat,ACEH,kab_kota,2031,15.2778,11.432,69.14,12281.3999
1107,Aceh Barat,ACEH,kab_kota,2032,15.335,11.619,69.2343,12505.4665
1107,Aceh Barat,ACEH,kab_kota,2033,15.3923,11.8059,69.3286,12729.5332
1107,Aceh Barat,ACEH,kab_kota,2034,15.4495,11.9929,69.4229,12953.5998
1107,Aceh Barat,ACEH,kab_kota,2035,15.5068,12.1799,69.5171,13177.6664
1107,Aceh Barat,ACEH,kab_kota,2036,15.564,12.3668,69.6114,13401.7331
1107,Aceh Barat,ACEH,kab_kota,2037,15.6213,12.5538,69.7057,13625.7997
1107,Aceh Barat,ACEH,kab_kota,2038,15.6785,12.7407,69.8,13849.8664
1107,Aceh Barat,ACEH,kab_kota,2039,15.7358,12.9277,69.8943,14073.933
1107,Aceh Barat,ACEH,kab_kota,2040,15.793,13.1146,69.9886,14297.9997
1107,Aceh Barat,ACEH,kab_kota,2041,15.8503,13.3016,70.0829,14522.0663
1107,Aceh Barat,ACEH,kab_kota,2042,15.9075,13.4885,70.1771,14746.133
1107,Aceh Barat,ACEH,kab_kota,2043,15.9648,13.6755,70.2714,14970.1996
1107,Aceh Barat,ACEH,kab_kota,2044,16.022,13.8625,70.3657,15194.2663
1107,Aceh Barat,ACEH,kab_kota,2045,16.0793,14.0494,70.46,15418.3329
1108,Aceh Besar,ACEH,kab_kota,2025,,,70.4155,
1108,Aceh Besar,ACEH,kab_kota,2026,14.988,10.774,70.5409,11267.6011
1108,Aceh Besar,ACEH,kab_kota,2027,15.056,10.858,70.6664,11463.2023
1108,Aceh Besar,ACEH,kab_kota,2028,15.124,10.942,70.7918,11658.8034
1108,Aceh Besar,ACEH,kab_kota,2029,15.192,11.026,70.9173,11854.4045
1108,Aceh Besar,ACEH,kab_kota,2030,15.26,11.11,71.0428,12050.0057
1108,Aceh Besar,ACEH,kab_kota,2031,15.328,11.194,71.1682,12245.6068
1108,Aceh Besar,ACEH,kab_kota,2032,15.396,11.278,71.2937,12441.208
1108,Aceh Besar,ACEH,kab_kota,2033,15.464,11.362,71.4192,12636.8091
